index,true_label,spiderweb_pred,transformer_pred,seq_len,is_short,is_medium,is_long
28,7,7,5,54,0,1,0
55,5,5,7,57,0,1,0
66,6,6,0,44,1,0,0
77,7,7,4,62,0,1,0
101,3,3,4,52,0,1,0
122,1,1,0,41,1,0,0
135,2,2,6,43,1,0,0
152,5,5,3,50,0,1,0
166,3,3,6,40,1,0,0
181,6,6,7,55,0,1,0
201,6,6,2,45,1,0,0
205,1,1,2,57,0,1,0
248,3,3,4,50,0,1,0
251,0,0,5,44,1,0,0
258,1,1,4,54,0,1,0
262,3,3,2,49,1,0,0
273,1,1,5,60,0,1,0
280,3,3,4,60,0,1,0
322,0,0,7,52,0,1,0
336,1,1,4,38,1,0,0
366,1,1,0,54,0,1,0
368,1,1,0,49,1,0,0
400,0,0,5,39,1,0,0
403,5,5,2,53,0,1,0
414,4,4,0,43,1,0,0
519,6,6,0,57,0,1,0
522,1,1,2,56,0,1,0
536,6,6,1,54,0,1,0
537,5,5,1,55,0,1,0
565,0,0,7,47,1,0,0
