seed,model,reported_accuracy,cm_accuracy,correct,total,diff,status
42,A_Transformer,0.785,0.785,471,600,0.0,OK
42,D_SpiderWeb,0.805,0.805,483,600,0.0,OK
123,A_Transformer,0.7983333333333333,0.7983333333333333,479,600,0.0,OK
123,D_SpiderWeb,0.8166666666666667,0.8166666666666667,490,600,0.0,OK
2024,A_Transformer,0.7766666666666666,0.7766666666666666,466,600,0.0,OK
2024,D_SpiderWeb,0.8166666666666667,0.8166666666666667,490,600,0.0,OK
3407,A_Transformer,0.78,0.78,468,600,0.0,OK
3407,D_SpiderWeb,0.8116666666666666,0.8116666666666666,487,600,0.0,OK
9999,A_Transformer,0.7866666666666666,0.7866666666666666,472,600,0.0,OK
9999,D_SpiderWeb,0.825,0.825,495,600,0.0,OK
