seed,model,accuracy,n_correct,n_total,train_time_s,acc_short,acc_medium,acc_long
42,Transformer,1.0,300,300,730.4926352500916,0,1.0,1.0
42,SpiderWeb,1.0,300,300,790.0812060832977,0,1.0,1.0
123,Transformer,0.9933333333333333,298,300,752.9408824443817,0,0.9130434782608695,1.0
123,SpiderWeb,1.0,300,300,721.089118719101,0,1.0,1.0
2024,Transformer,1.0,300,300,683.2013604640961,0,1.0,1.0
2024,SpiderWeb,1.0,300,300,768.5966289043427,0,1.0,1.0
3407,Transformer,0.9966666666666667,299,300,761.5672082901001,0,1.0,0.99644128113879
3407,SpiderWeb,1.0,300,300,1300.4313399791718,0,1.0,1.0
9999,Transformer,1.0,300,300,726.9592087268829,0,1.0,1.0
9999,SpiderWeb,1.0,300,300,1015.3706357479095,0,1.0,1.0
